"","p1","p2","alpha","xi","n","rd","seed","logbf","pm_alpha","pm_xi","chisq_stat","chisq_pvalue"
"96",1,1,0.0833333333333333,0.333333333333333,100,100,28,8.66393515791924,0.0810395254519904,0.327339867507885,Inf,0
"97",0,2,0,0.333333333333333,10,100,63,4.0872977372546,0.0764492284967997,0.449473647533445,0.35,0.839457020769207
"98",0,2,0.166666666666667,0,10,100,82,3.14443743379248,0.0799922573386615,0.369469270597078,2.75,0.252839595804746
"99",1,1,0,0,1000,100,67,13.272936219063,0.00526466076334066,0.330603772596129,Inf,0
"100",1,2,0,0,1000,10,100,7.77234364830383,0.108071908522662,0.0995462136767911,Inf,0
"101",0,1,0,0.166666666666667,10,100,33,5.27524403637084,0.0762715256748967,0.326854627482398,3.15544362088405e-31,1
"102",1,1,0.0833333333333333,0.166666666666667,1000,10,2,11.459370540116,0.0348515429797218,0.339702494126759,Inf,0
"103",1,1,0.166666666666667,0,1000,100,86,10.6892419838882,0.14999914540808,0.328127719598907,Inf,0
"104",0,2,0,0.166666666666667,100,10,73,8.42501660274723,0.0812708546514902,0.317894934532461,Inf,0
"105",0,1,0.166666666666667,0.333333333333333,10,100,7,3.22334498243333,0.10207180038499,0.333815831296747,Inf,0
"106",0,1,0.166666666666667,0.333333333333333,100,10,51,10.5149953150767,0.0691582061977837,0.339574433583415,Inf,0
"107",0,1,0.0833333333333333,0,1000,100,30,16.2519283719403,0.0675687991631087,0.33297885974848,Inf,0
"108",0,2,0.166666666666667,0,100,100,59,8.28155843395956,0.103032258570468,0.092225155555476,Inf,0
"109",0,2,0,0.166666666666667,1000,10,29,12.1330195560167,0.0807201405581015,0.309986063744706,Inf,0
"110",0,1,0.166666666666667,0,100,100,92,9.7995053459544,0.0955546209138359,0.330346098029132,Inf,0
"111",0,1,0,0.333333333333333,1000,100,6,16.5560357102709,0.00765849076936754,0.327042316227165,Inf,0
"112",0,1,0,0,1000,100,1,16.1170885063016,0.0123707483593334,0.333779155902233,Inf,0
"113",1,1,0,0.166666666666667,1000,100,80,12.448640757143,0.00858208472526135,0.323968869791105,Inf,0
"114",0,2,0,0.333333333333333,10,10,55,3.77054190508979,0.0767417598411856,0.435138980043331,0.35,0.839457020769207
"115",1,1,0.166666666666667,0.333333333333333,10,10,55,3.41917393396781,0.0792964364036856,0.336355368644945,0.2,0.90483741803596
"116",1,2,0,0.166666666666667,10,100,20,3.3787715783001,0.0678357238178777,0.49029975548701,2,0.57240670447088
"117",1,1,0.166666666666667,0.166666666666667,10,10,29,1.8618788507694,0.0814244193901335,0.326482200716081,Inf,0
"118",1,1,0,0.166666666666667,10,10,78,1.79855793533787,0.0904423429468742,0.328122795850362,Inf,0
"119",1,1,0.166666666666667,0.333333333333333,1000,100,68,10.8675820451444,0.146857642549267,0.332207002635003,Inf,0
"120",0,2,0,0.333333333333333,100,10,81,7.78903550261191,0.0790494808433313,0.373784963294139,Inf,0
"121",2,2,0.0833333333333333,0,1000,10,91,7.82377377385046,0.0869505392243703,0.121028180578682,171.9445,4.00043237905854e-36
"122",0,2,0.0833333333333333,0,100,100,14,7.49584661595446,0.11936470136305,0.059400474896937,34.715,2.89556641272755e-08
"123",0,1,0.166666666666667,0,10,100,47,2.77925103121801,0.112580318555491,0.336890603071231,Inf,0
"124",1,2,0.166666666666667,0.333333333333333,1000,100,47,9.12237499177172,0.13695319918722,0.351361721925302,Inf,0
"125",0,1,0,0,10,10,29,-1.57544145415899,0.0821763915428156,0.338659654037918,Inf,0
"126",1,1,0,0.166666666666667,1000,10,54,11.4278986155236,0.025820499417062,0.335943742547657,Inf,0
"127",0,1,0.0833333333333333,0,10,100,42,4.77365324444525,0.0829371101936294,0.333968644470445,1.6,0.205903210732068
"128",0,1,0.166666666666667,0.333333333333333,10,100,34,3.92676175233943,0.0862876492534116,0.332674332798931,3.6,0.0577795711235973
"129",1,2,0.0833333333333333,0,100,10,4,2.77000254544367,0.111559622167657,0.118397253597108,Inf,0
"130",1,1,0.0833333333333333,0.333333333333333,10,100,40,3.63185204604412,0.0780985975103585,0.333883373018113,1.8,0.406569659740599
"131",1,2,0.0833333333333333,0.166666666666667,10,10,65,2.30033685500023,0.0809685875964754,0.321251660694981,2.96,0.397833594656797
"132",2,2,0.166666666666667,0.166666666666667,10,10,93,0.895810481836321,0.0858377990149134,0.314287569350154,6.2,0.184701729813587
"133",1,2,0.0833333333333333,0,100,100,50,6.3782166119276,0.102569829314732,0.258441622381712,Inf,0
"134",2,2,0.0833333333333333,0.333333333333333,100,100,45,5.49818898639779,0.0803733173775714,0.280675848284992,5.18499999999999,0.268836561787281
"135",0,1,0.166666666666667,0,1000,100,82,15.3537310205111,0.134226883224087,0.337474978599339,Inf,0
"136",2,2,0,0,100,100,87,4.28355250704726,0.0820321362794401,0.262486105937717,7.63,0.1061115950943
"137",1,1,0.166666666666667,0,100,10,63,6.25504689664282,0.0680640446699694,0.334655198554657,Inf,0
"138",2,2,0,0,1000,100,26,8.23373142803939,0.0886808176773259,0.115314184513258,129.5045,4.97010716298034e-27
"139",0,2,0.0833333333333333,0.333333333333333,10,100,47,3.28252158881944,0.0878022343734947,0.241355549943244,3.95,0.138761312242955
"140",2,2,0,0.166666666666667,10,100,23,2.5673079648576,0.0807627877447277,0.383086478948711,2.65,0.617991879881754
"141",2,2,0,0.333333333333333,1000,100,40,9.6524112006673,0.07928343963604,0.477742295080904,2.57299999999999,0.631613428411369
"142",2,2,0.166666666666667,0,1000,10,49,6.51404294308395,0.128173110477798,0.0434189038713161,309.7025,8.74312925853499e-66
"143",2,2,0.0833333333333333,0.333333333333333,100,100,37,3.54968005285042,0.0804290768933823,0.348641830966041,8.72499999999999,0.0683530074706967
"144",2,2,0.166666666666667,0.166666666666667,10,100,16,0.837909001630294,0.0930523039190436,0.165670667794121,7,0.135888225400433
"145",0,2,0.166666666666667,0,1000,10,58,7.44440277795661,0.14981085775297,0.0197589958294067,Inf,0
"146",1,1,0.166666666666667,0.333333333333333,10,100,100,1.90494639539507,0.109334281473425,0.337451701257724,Inf,0
"147",0,2,0,0.333333333333333,100,100,2,8.82388996611701,0.0762692888391716,0.531943774139383,Inf,0
"148",2,2,0.166666666666667,0.333333333333333,10,10,17,1.15161310815933,0.0863455543384382,0.245151590198543,4.85,0.303037557719149
